comment,comment_target
from th indian epic the mahabharata about krishna and shishupala once yudhisthir eldest brother of pandavas organised a famous rajasuya yagya he invited many kings and princes shishupal too was invited when shishupal saw krishna there he began hurling abuses at krishna krishna remained quiet finally when shishupal uttered his hundredth abuse krishna turned to him took his sudarshan chakra and flung it towards shishupal the chakra cut off shishupalas head and the crowd cheered,unknown
sukkel,unknown
his hands not move,unknown
trump idea to change this this is a game they making a drama to arrest of nathan yahu but they taking over gaza the settlers coming in already,unknown
vive la grande russie et son peuple de vaillant,unknown
these things would happen surely sooner or later,unknown
us is dragging europe into war with russia everyone that doesnt see it is blind on both eyes they have been war mongers and they still are,russia
brace for escalations before trump takes office they want to ensure the war doesnt end under trump,unknown
agreed with mr putin love from pakistan,russia
notice how he said the elites of those countries not government officials,unknown
the only reason the world is still in one piece is because of the extraordinary patience this man has compared to the louts in the west,unknown
woow,unknown
so many bots here,unknown
zelensky is a pathetic and weak leader who dances to americas tune and whilst he and his family are all safe happy and well fed ordinary ukrainians are suffering,ukraine
what a weasel,unknown
one of the newest how many more do you have mr putin,russia
the real heroif the world wants peace must stand with russia,russia
the perpetrator getting annoyed at more resistance and threating to burn the planet down sounds a bit desperate,unknown
you can hear his dentures clicking,unknown
the western government is always poking other leaders and later label them evil,unknown
